# name, ra, dec, redshift 
IC 5370, 0.03816, 32.73846, 0.033802 
IC 5371, 0.06165, 32.83198, 0.031300 
IC 5372, 0.06768, 32.79266, 0.034464 
NGC 7807, 0.11084, -18.84182, 0.025534 
IC 5373, 0.12005, 32.78242, 0.033386 
NGC 7802, 0.25176, 6.24217, 0.017759 
IC 5374, 0.26853, 4.50018, 0.029794 
IC 5375, 0.26985, 4.54064, 0.030524 
IC 5376, 0.33238, 34.52569, 0.016772 
NGC 7803, 0.33315, 13.11122, 0.017766 
NGC 7805, 0.36159, 31.43369, 0.016048 
NGC 7806, 0.37522, 31.44192, 0.015954 
IC 1526, 0.38132, 11.34588, 0.030491 
IC 5377, 0.52295, 16.59031, 0.003506 
NGC 7809, 0.53933, 2.94096, 0.064034 
NGC 7810, 0.57978, 12.97168, 0.018299 
IC 1527, 0.59010, 4.08976, 0.028707 
NGC 7811, 0.61011, 3.35191, 0.025518 
IC 5378 NED02, 0.65742, 16.65212, 0.019460 
IC 5378 NED01, 0.65799, 16.64379, 0.021181 
IC 5379, 0.66974, 16.60031, 0.020951 
SMDG J0002490+163547, 0.70412, 16.59652, 0.020628 
NGC 7812, 0.72682, -34.23567, 0.022702 
IC 5381, 0.79696, 15.96573, 0.037463 
SDSS J000313.31+160827.6, 0.80547, 16.14101, 0.071270 
NGC 7814, 0.81213, 16.14531, 0.003506 
IC 5382, 0.85929, -65.19670, 0.029270 
NGC 7808, 0.88386, -10.74468, 0.029570 
NGC 7816, 0.95374, 7.47870, 0.017485 
NGC 7817, 0.99562, 20.75232, 0.007705 
NGC 7818, 1.03707, 7.37946, 0.020684 
NGC 7813, 1.03798, -11.98386, 0.030428 
NGC 7819, 1.10222, 31.47202, 0.016528 
NGC 7820, 1.12824, 5.20031, 0.010151 
NGC 7823, 1.19006, -62.06163, 0.015140 
IC 1528, 1.27227, -7.09343, 0.012699 
NGC 7824, 1.27600, 6.92018, 0.020471 
NGC 7825, 1.27768, 5.20361, 0.026869 
IC 1529, 1.30505, -11.50257, 0.022556 
NGC 7821, 1.31960, -16.47691, 0.024724 
NGC 7827, 1.36521, 5.22237, 0.017659 
NGC 7828, 1.61269, -13.41604, 0.019110 
NGC 7832, 1.61862, -3.71611, 0.020838 
NGC 7829, 1.62077, -13.42063, 0.019070 
NGC 7834, 1.65777, 8.36782, 0.017449 
NGC 7835, 1.69496, 8.42600, 0.039507 
NGC 7837, 1.71422, 8.35132, 0.036292 
NGC 7838, 1.72472, 8.35091, 0.038443 
NGC 7840, 1.78659, 8.38343, 0.037579 
NGC 0001, 1.81611, 27.70803, 0.015177 
NGC 0003, 1.81993, 8.30166, 0.013212 
NGC 0002, 1.82133, 27.67844, 0.025174 
NGC 7831, 1.83122, 32.60907, 0.016925 
NGC 0004, 1.85175, 8.37382, 0.029409 
NGC 0005, 1.95361, 35.36230, 0.016708 
NGC 7836, 2.00676, 33.07058, 0.016358 
NGC 0007, 2.08725, -29.91488, 0.004987 
NGC 0010, 2.14394, -33.85835, 0.022696 
NGC 0011, 2.17717, 37.44791, 0.014640 
NGC 0012, 2.18655, 4.61265, 0.013122 
NGC 0014, 2.19330, 15.81564, 0.002879 
NGC 0013, 2.19878, 33.43334, 0.016048 
NGC 0009, 2.22768, 23.81719, 0.015102 
NGC 0015, 2.26025, 21.62449, 0.021121 
NGC 0016, 2.26783, 27.72940, 0.010340 
NGC 0006, 2.38590, 33.30884, 0.016348 
IC 1531, 2.39816, -32.27692, 0.025641 
NGC 0022, 2.45083, 27.83227, 0.027726 
IC 1532, 2.47002, -64.37175, 0.006108 
NGC 0023, 2.47257, 25.92390, 0.015054 
NGC 0024, 2.48528, -24.96322, 0.001848 
NGC 0025, 2.49691, -57.02080, 0.031572 
NGC 0028, 2.60515, -56.98906, 0.032005 
NGC 0026, 2.60775, 25.83194, 0.015321 
NGC 0027, 2.63653, 28.99625, 0.026181 
NGC 0031, 2.66002, -56.98649, 0.032025 
NGC 0019, 2.67028, 32.98295, 0.015971 
NGC 0021, 2.69547, 33.35273, 0.015894 
IC 0002, 2.75346, -12.82249, 0.022599 
NGC 0017, 2.77725, -12.10768, 0.019617 
NGC 0035, 2.79373, -12.02078, 0.019894 
NGC 0036, 2.84279, 6.38948, 0.020111 
NGC 0037, 2.84564, -56.95730, 0.032719 
NGC 0038, 2.94583, -5.58634, 0.026802 
IC 0003, 3.02537, -0.41519, 0.018169 
NGC 0039, 3.07855, 31.06110, 0.016201 
NGC 0041, 3.19994, 22.02352, 0.019834 
NGC 0042, 3.23473, 22.10029, 0.019950 
NGC 0043, 3.25319, 30.91525, 0.015961 
IC 0004, 3.36216, 17.48640, 0.016688 
WISEA J001333.83-385940.9, 3.39097, -38.99470, 0.087294 
GALEXMSC J001349.23-391927.1, 3.45576, -39.32386, 0.057647 
NGC 0045, 3.51664, -23.18206, 0.001558 
LCRS B001155.5-394007, 3.60838, -39.39084, 0.029230 
NGC 0047, 3.62760, -7.16743, 0.019013 
NGC 0052, 3.66710, 18.58220, 0.018012 
SSTSL2 J001440.84-390937.3, 3.67006, -39.16052, 0.066516 
NGC 0053, 3.67862, -60.32838, 0.015237 
NGC 0050, 3.68578, -7.34512, 0.019016 
NGC 0055, 3.72335, -39.19657, 0.000437 
GALEXASC J001456.67-392610.4, 3.73513, -39.43613, 0.086780 
NGC 0054, 3.78183, -7.10676, 0.017802 
WISEA J001523.35-391714.6, 3.84733, -39.28740, 0.016975 
NGC 0059, 3.85488, -21.44450, 0.001207 
LCRS B001300.1-392355, 3.87654, -39.12087, 0.061836 
NGC 0057, 3.87881, 17.32842, 0.017880 
LCRS B001306.8-392624, 3.90513, -39.16262, 0.063691 
NGC 0060, 3.99271, -0.30352, 0.039373 
NGC 0061B, 4.10028, -6.31885, 0.027192 
NGC 0061, 4.10124, -6.31916, 0.026919 
NGC 0061A, 4.10151, -6.32182, 0.026505 
NGC 0062, 4.27264, -13.48714, 0.021562 
NGC 0064, 4.37659, -6.82460, 0.024384 
IC 0005, 4.39558, -9.54334, 0.022315 
NGC 0063, 4.43964, 11.45032, 0.003869 
NGC 0067, 4.55107, 30.05545, 0.020734 
NGC 0068, 4.57697, 30.07167, 0.019130 
NGC 0069, 4.58540, 30.03996, 0.022285 
NGC 0070, 4.59403, 30.07956, 0.023903 
NGC 0071, 4.59811, 30.06330, 0.022033 
NGC 0072, 4.61814, 30.04069, 0.024213 
NGC 0072A, 4.64291, 30.03651, 0.022399 
NGC 0073, 4.66241, -15.32239, 0.025891 
NGC 0074, 4.70587, 30.06166, 0.023646 
IC 0007, 4.72156, 10.59469, 0.017902 
IC 0006, 4.72925, -3.27602, 0.020634 
NGC 0065, 4.74461, -22.88038, 0.024327 
IC 0008, 4.76127, -3.22211, 0.020020 
NGC 0066, 4.77056, -22.93631, 0.025364 
NGC 0075, 4.85980, 6.44937, 0.019347 
NGC 0076, 4.90746, 29.93387, 0.024440 
IC 0009, 4.93327, -14.12192, 0.042102 
IC 1540, 4.95315, 23.77265, 0.019420 
NGC 0077, 5.00686, -22.53206, 0.063064 
IC 1541, 5.00819, 21.99977, 0.019767 
IC 0012, 5.06279, -2.65325, 0.020161 
IC 0013, 5.08373, 7.70068, 0.019050 
