# name, ra, dec, redshift, major axis, axis ratio, position angle, frequency, refcode 
IC 5370, 0.03816, 32.73846, 0.033802, 34.0, 0.8, 120.0, 138000000000000.0,  20032MASX.C.......:  
IC 5371, 0.06165, 32.83198, 0.0313, 22.4, 0.68, 155.0, 138000000000000.0,  20032MASX.C.......:  
IC 5372, 0.06768, 32.79266, 0.034464, 25.8, 0.96, 5.0, 138000000000000.0,  20032MASX.C.......:  
NGC 7807, 0.11084, -18.84182, 0.025534, 27.8, 0.74, 65.0, 138000000000000.0,  20032MASX.C.......:  
IC 5373, 0.12005, 32.78242, 0.033386, 26.8, 0.84, 150.0, 138000000000000.0,  20032MASX.C.......:  
NGC 7802, 0.25176, 6.24217, 0.017759, 61.4, 0.46, 45.0, 138000000000000.0,  20032MASX.C.......:  
IC 5374, 0.26853, 4.50018, 0.029794, 30.8, 0.6, 5.0, 138000000000000.0,  20032MASX.C.......:  
IC 5375, 0.26985, 4.54064, 0.030524, 35.4, 0.54, 0.0, 138000000000000.0,  20032MASX.C.......:  
IC 5376, 0.33238, 34.52569, 0.016772, 60.0, 0.36, 0.0, 138000000000000.0,  20032MASX.C.......:  
NGC 7803, 0.33315, 13.11122, 0.017766, 54.8, 0.58, 80.0, 138000000000000.0,  20032MASX.C.......:  
NGC 7805, 0.36159, 31.43369, 0.016048, 40.6, 0.88, 30.0, 138000000000000.0,  20032MASX.C.......:  
NGC 7806, 0.37522, 31.44192, 0.015954, 46.2, 0.62, 5.0, 138000000000000.0,  20032MASX.C.......:  
IC 1526, 0.38132, 11.34588, 0.030491, 32.0, 0.9, 5.0, 138000000000000.0,  20032MASX.C.......:  
IC 5377, 0.52295, 16.59031, 0.003506, 62.8, 0.56, nan, 681000000000000.0,  1991RC3.9.C...0000d  
NGC 7809, 0.53933, 2.94096, 0.064034, 32.2, 0.6, 65.0, 138000000000000.0,  20032MASX.C.......:  
NGC 7810, 0.57978, 12.97168, 0.018299, 47.2, 0.6, 80.0, 138000000000000.0,  20032MASX.C.......:  
IC 1527, 0.5901, 4.08976, 0.028707, 40.2, 0.66, 130.0, 138000000000000.0,  20032MASX.C.......:  
NGC 7811, 0.61011, 3.35191, 0.025518, 29.6, 0.92, 130.0, 138000000000000.0,  20032MASX.C.......:  
IC 5378 NED02, 0.65742, 16.65212, 0.01946, 18.0, 0.33, nan, 740000000000000.0,  1964MCG2..C...0000V  
IC 5378 NED01, 0.65799, 16.64379, 0.021181, 37.8, 0.88, 50.0, 138000000000000.0,  20032MASX.C.......:  
IC 5379, 0.66974, 16.60031, 0.020951, 24.0, 0.33, nan, 740000000000000.0,  1964MCG2..C...0000V  
SMDG J0002490+163547, 0.70412, 16.59652, 0.020628, -99.99, -99.99, -99.99, -99.99, -- 
NGC 7812, 0.72682, -34.23567, 0.022702, 42.6, 0.68, 120.0, 138000000000000.0,  20032MASX.C.......:  
IC 5381, 0.79696, 15.96573, 0.037463, 7.32, 0.37, 54.0, 477000000000000.0,  2007SDSS6.C...0000:  
SDSS J000313.31+160827.6, 0.80547, 16.14101, 0.07127, 1.25, 0.78, 99.0, 477000000000000.0,  2007SDSS6.C...0000:  
NGC 7814, 0.81213, 16.14531, 0.003506, -99.99, -99.99, -99.99, -99.99, -- 
IC 5382, 0.85929, -65.1967, 0.02927, 27.6, 0.58, 120.0, 138000000000000.0,  20032MASX.C.......:  
NGC 7808, 0.88386, -10.74468, 0.02957, 5.61, 0.88, 75.0, 477000000000000.0,  2007SDSS6.C...0000:  
NGC 7816, 0.95374, 7.4787, 0.017485, 72.8, 0.82, 105.0, 138000000000000.0,  20032MASX.C.......:  
NGC 7817, 0.99562, 20.75232, 0.007705, 165.4, 0.26, 45.0, 138000000000000.0,  20032MASX.C.......:  
NGC 7818, 1.03707, 7.37946, 0.020684, 41.2, 0.72, 145.0, 138000000000000.0,  20032MASX.C.......:  
NGC 7813, 1.03798, -11.98386, 0.030428, 32.0, 0.5, 150.0, 138000000000000.0,  20032MASX.C.......:  
NGC 7819, 1.10222, 31.47202, 0.016528, 49.6, 0.64, 65.0, 138000000000000.0,  20032MASX.C.......:  
NGC 7820, 1.12824, 5.20031, 0.010151, 65.2, 0.34, 165.0, 138000000000000.0,  20032MASX.C.......:  
NGC 7823, 1.19006, -62.06163, 0.01514, 50.4, 0.84, 30.0, 138000000000000.0,  20032MASX.C.......:  
IC 1528, 1.27227, -7.09343, 0.012699, 82.8, 0.38, 75.0, 138000000000000.0,  20032MASX.C.......:  
NGC 7824, 1.276, 6.92018, 0.020471, 69.8, 0.76, 165.0, 138000000000000.0,  20032MASX.C.......:  
NGC 7825, 1.27768, 5.20361, 0.026869, 39.2, 0.36, 135.0, 138000000000000.0,  20032MASX.C.......:  
IC 1529, 1.30505, -11.50257, 0.022556, 43.8, 0.94, 160.0, 138000000000000.0,  20032MASX.C.......:  
NGC 7821, 1.3196, -16.47691, 0.024724, 66.4, 0.3, 110.0, 138000000000000.0,  20032MASX.C.......:  
NGC 7827, 1.36521, 5.22237, 0.017659, 52.8, 0.68, 40.0, 138000000000000.0,  20032MASX.C.......:  
NGC 7828, 1.61269, -13.41604, 0.01911, 48.2, 0.58, 145.0, 138000000000000.0,  20032MASX.C.......:  
NGC 7832, 1.61862, -3.71611, 0.020838, 80.2, 0.52, 30.0, 138000000000000.0,  20032MASX.C.......:  
NGC 7829, 1.62077, -13.42063, 0.01907, 32.6, 0.72, 105.0, 138000000000000.0,  20032MASX.C.......:  
NGC 7834, 1.65777, 8.36782, 0.017449, 34.6, 0.64, 30.0, 138000000000000.0,  20032MASX.C.......:  
NGC 7835, 1.69496, 8.426, 0.039507, 37.2, 0.46, 155.0, 138000000000000.0,  20032MASX.C.......:  
NGC 7837, 1.71422, 8.35132, 0.036292, 26.2, 0.72, 175.0, 138000000000000.0,  20032MASX.C.......:  
NGC 7838, 1.72472, 8.35091, 0.038443, 46.6, 0.58, 95.0, 138000000000000.0,  20032MASX.C.......:  
NGC 7840, 1.78659, 8.38343, 0.037579, 31.6, 0.6, 140.0, 138000000000000.0,  20032MASX.C.......:  
NGC 0001, 1.81611, 27.70803, 0.015177, 50.0, 0.78, 110.0, 138000000000000.0,  20032MASX.C.......:  
NGC 0003, 1.81993, 8.30166, 0.013212, 52.8, 0.54, 105.0, 138000000000000.0,  20032MASX.C.......:  
NGC 0002, 1.82133, 27.67844, 0.025174, 38.8, 0.62, 110.0, 138000000000000.0,  20032MASX.C.......:  
NGC 7831, 1.83122, 32.60907, 0.016925, 81.4, 0.26, 40.0, 138000000000000.0,  20032MASX.C.......:  
NGC 0004, 1.85175, 8.37382, 0.029409, 25.4, 0.4, 30.0, 138000000000000.0,  20032MASX.C.......:  
NGC 0005, 1.95361, 35.3623, 0.016708, 35.0, 0.8, 115.0, 138000000000000.0,  20032MASX.C.......:  
NGC 7836, 2.00676, 33.07058, 0.016358, 40.6, 0.54, 135.0, 138000000000000.0,  20032MASX.C.......:  
NGC 0007, 2.08725, -29.91488, 0.004987, 134.3, 0.24, 29.0, 681000000000000.0,  1991RC3.9.C...0000d  
NGC 0010, 2.14394, -33.85835, 0.022696, 112.0, 0.46, 30.0, 138000000000000.0,  20032MASX.C.......:  
NGC 0011, 2.17717, 37.44791, 0.01464, 86.0, 0.2, 110.0, 138000000000000.0,  20032MASX.C.......:  
NGC 0012, 2.18655, 4.61265, 0.013122, 56.4, 0.86, 100.0, 138000000000000.0,  20032MASX.C.......:  
NGC 0014, 2.1933, 15.81564, 0.002879, 70.8, 0.48, 10.0, 138000000000000.0,  20032MASX.C.......:  
NGC 0013, 2.19878, 33.43334, 0.016048, 64.2, 0.54, 55.0, 138000000000000.0,  20032MASX.C.......:  
NGC 0009, 2.22768, 23.81719, 0.015102, 44.4, 0.54, 160.0, 138000000000000.0,  20032MASX.C.......:  
NGC 0015, 2.26025, 21.62449, 0.021121, 53.8, 0.54, 45.0, 138000000000000.0,  20032MASX.C.......:  
NGC 0016, 2.26783, 27.7294, 0.01034, 89.6, 0.58, 15.0, 138000000000000.0,  20032MASX.C.......:  
NGC 0006, 2.3859, 33.30884, 0.016348, 64.6, 0.94, 0.0, 138000000000000.0,  20032MASX.C.......:  
IC 1531, 2.39816, -32.27692, 0.025641, -99.99, -99.99, -99.99, -99.99, -- 
NGC 0022, 2.45083, 27.83227, 0.027726, 50.2, 0.58, 155.0, 138000000000000.0,  20032MASX.C.......:  
IC 1532, 2.47002, -64.37175, 0.006108, 97.3, 0.28, 74.0, 681000000000000.0,  1991RC3.9.C...0000d  
NGC 0023, 2.47257, 25.9239, 0.015054, -99.99, -99.99, -99.99, -99.99, -- 
NGC 0024, 2.48528, -24.96322, 0.001848, 166.0, 0.28, 44.0, 138000000000000.0,  2003AJ....125..525J  
NGC 0025, 2.49691, -57.0208, 0.031572, 62.0, 0.74, 85.0, 138000000000000.0,  20032MASX.C.......:  
NGC 0028, 2.60515, -56.98906, 0.032005, 33.8, 0.88, 150.0, 138000000000000.0,  20032MASX.C.......:  
NGC 0026, 2.60775, 25.83194, 0.015321, 51.2, 0.8, 100.0, 138000000000000.0,  20032MASX.C.......:  
NGC 0027, 2.63653, 28.99625, 0.026181, 55.0, 0.4, 115.0, 138000000000000.0,  20032MASX.C.......:  
NGC 0031, 2.66002, -56.98649, 0.032025, 39.8, 0.64, 15.0, 138000000000000.0,  20032MASX.C.......:  
NGC 0019, 2.67028, 32.98295, 0.015971, 47.6, 0.58, 25.0, 138000000000000.0,  20032MASX.C.......:  
NGC 0021, 2.69547, 33.35273, 0.015894, 58.4, 0.54, 150.0, 138000000000000.0,  20032MASX.C.......:  
IC 0002, 2.75346, -12.82249, 0.022599, 40.6, 0.32, 140.0, 138000000000000.0,  20032MASX.C.......:  
NGC 0017, 2.77725, -12.10768, 0.019617, -99.99, -99.99, -99.99, -99.99, -- 
NGC 0035, 2.79373, -12.02078, 0.019894, 21.8, 0.88, 150.0, 138000000000000.0,  20032MASX.C.......:  
NGC 0036, 2.84279, 6.38948, 0.020111, 82.4, 0.64, 170.0, 138000000000000.0,  20032MASX.C.......:  
NGC 0037, 2.84564, -56.9573, 0.032719, 41.6, 0.88, 15.0, 138000000000000.0,  20032MASX.C.......:  
NGC 0038, 2.94583, -5.58634, 0.026802, 52.0, 0.92, 170.0, 138000000000000.0,  20032MASX.C.......:  
IC 0003, 3.02537, -0.41519, 0.018169, 4.8, 0.68, 54.0, 477000000000000.0,  2007SDSS6.C...0000:  
NGC 0039, 3.07855, 31.0611, 0.016201, 55.6, 0.72, 120.0, 138000000000000.0,  20032MASX.C.......:  
NGC 0041, 3.19994, 22.02352, 0.019834, 53.8, 0.52, 125.0, 138000000000000.0,  20032MASX.C.......:  
NGC 0042, 3.23473, 22.10029, 0.01995, 56.6, 0.44, 115.0, 138000000000000.0,  20032MASX.C.......:  
NGC 0043, 3.25319, 30.91525, 0.015961, 75.4, 0.78, 100.0, 138000000000000.0,  20032MASX.C.......:  
IC 0004, 3.36216, 17.4864, 0.016688, 58.8, 0.54, 165.0, 138000000000000.0,  20032MASX.C.......:  
WISEA J001333.83-385940.9, 3.39097, -38.9947, 0.087294, -99.99, -99.99, -99.99, -99.99, -- 
GALEXMSC J001349.23-391927.1, 3.45576, -39.32386, 0.057647, -99.99, -99.99, -99.99, -99.99, -- 
NGC 0045, 3.51664, -23.18206, 0.001558, 98.6, 1.0, 112.0, 138000000000000.0,  2003AJ....125..525J  
