

Results from query to  NASA/IPAC Extragalactic Database (NED),
which is funded by the National Aeronautics and Space Administration.
and operated by the California Institute of Technology.


queryDateTime:2025-01-24T13:46:59PST



Main Information Table for All Sky, chosen by params



Equinox:J2000.0



CoordSystem:Equatorial

No.|Object Name|RA|DEC|Type|Velocity|Redshift|Redshift Flag|Magnitude and Filter|Separation|References|Notes|Photometry Points|Positions|Redshift Points|Diameter Points|Associations
1|IC 5370|  0.03816 |  32.73846 |G| 10134| 0.033802 |SLS |14.9 |  0.000|21|0|28|10|9|4|0
2|IC 5371|  0.06165 |  32.83198 |G|  9384| 0.031300 |SUN |15.7 |  0.000|15|0|28|8|3|2|0
3|IC 5372|  0.06768 |  32.79266 |G| 10332| 0.034464 |SUN |15.61|  0.000|11|0|27|6|5|2|0
4|NGC 7807|  0.11084 | -18.84182 |G|  7655| 0.025534 |SLS |15.06|  0.000|12|2|42|9|3|14|0
5|IC 5373|  0.12005 |  32.78242 |G| 10009| 0.033386 |SLS |15.1 |  0.000|14|0|15|5|8|4|0
6|NGC 7802|  0.25176 |   6.24217 |G|  5324| 0.017759 |SUN |14.48|  0.000|23|1|29|9|6|7|0
7|IC 5374|  0.26853 |   4.50018 |G|  8932| 0.029794 |SUN |15.19|  0.000|22|0|39|13|8|6|0
8|IC 5375|  0.26985 |   4.54064 |G|  9151| 0.030524 |SUN |15.24|  0.000|25|0|31|11|9|6|0
9|IC 5376|  0.33238 |  34.52569 |G|  5028| 0.016772 |S1L |14.59|  0.000|70|0|42|20|20|7|0
10|NGC 7803|  0.33315 |  13.11122 |G|  5326| 0.017766 |S1L |14.06|  0.000|119|1|81|28|28|6|2
11|NGC 7805|  0.36159 |  31.43369 |G|  4811| 0.016048 |UUN |14.2 |  0.000|91|6|49|16|15|8|0
12|NGC 7806|  0.37522 |  31.44192 |G|  4783| 0.015954 |S1L |14.31|  0.000|79|4|44|16|17|7|0
13|IC 1526|  0.38132 |  11.34588 |G|  9141| 0.030491 |S1L |15.1 |  0.000|30|0|23|13|11|2|0
14|IC 5377|  0.52295 |  16.59031 |G|  1051| 0.003506 |S1L |15.20|  0.000|20|0|26|11|9|5|0
15|NGC 7809|  0.53933 |   2.94096 |G| 19197| 0.064034 |SUN |15.14|  0.000|21|1|40|11|8|6|0
16|NGC 7810|  0.57978 |  12.97168 |G|  5486| 0.018299 |S1L |14.03|  0.000|45|1|51|17|15|7|0
17|IC 1527|  0.59010 |   4.08976 |G|  8606| 0.028707 |SUN |15.4 |  0.000|14|0|32|8|5|4|0
18|NGC 7811|  0.61011 |   3.35191 |G|  7650| 0.025518 |SUN |15.06|  0.000|122|2|56|23|24|5|0
19|IC 5378 NED02|  0.65742 |  16.65212 |G|  5834| 0.019460 |SUN |15.6 |  0.000|23|0|15|5|2|2|0
20|IC 5378 NED01|  0.65799 |  16.64379 |G|  6350| 0.021181 |SUN |15.39|  0.000|23|0|27|8|8|4|0
21|IC 5379|  0.66974 |  16.60031 |G|  6281| 0.020951 |S1L |15.7 |  0.000|19|0|28|11|4|1|0
22|SMDG J0002490+163547|  0.70412 |  16.59652 |G|  6184| 0.020628 |SUN |     |  0.000|4|0|0|4|1|0|0
23|NGC 7812|  0.72682 | -34.23567 |G|  6806| 0.022702 |SUN |13.86|  0.000|35|1|41|13|14|17|0
24|IC 5381|  0.79696 |  15.96573 |G| 11231| 0.037463 |S1L |14.7g|  0.000|62|2|80|27|25|15|0
25|SDSS J000313.31+160827.6|  0.80547 |  16.14101 |G| 21366| 0.071270 |PUN |15.4g|  0.000|4|0|36|6|1|4|0
26|NGC 7814|  0.81213 |  16.14531 |G|  1051| 0.003506 |S1L |11.56|  0.000|301|9|131|40|29|14|0
27|IC 5382|  0.85929 | -65.19670 |G|  8775| 0.029270 |SLS |15.31|  0.000|11|0|38|8|3|14|0
28|NGC 7808|  0.88386 | -10.74468 |G|  8865| 0.029570 |SLS |14.1g|  0.000|60|0|104|26|20|14|0
29|NGC 7816|  0.95374 |   7.47870 |G|  5242| 0.017485 |S1L |13.61|  0.000|62|1|54|18|15|7|0
30|NGC 7817|  0.99562 |  20.75232 |G|  2310| 0.007705 |SUN |12.56|  0.000|184|6|81|27|22|7|0
31|NGC 7818|  1.03707 |   7.37946 |G|  6201| 0.020684 |SUN |14.67|  0.000|30|1|39|11|10|7|0
32|NGC 7813|  1.03798 | -11.98386 |G|  9122| 0.030428 |UUN |15.1b|  0.000|31|2|47|12|10|3|0
33|NGC 7819|  1.10222 |  31.47202 |G|  4955| 0.016528 |S1L |14.18|  0.000|128|1|52|32|31|8|0
34|NGC 7820|  1.12824 |   5.20031 |G|  3043| 0.010151 |SLS |13.87|  0.000|36|1|43|16|10|7|0
35|NGC 7823|  1.19006 | -62.06163 |G|  4539| 0.015140 |SUN |13.40|  0.000|26|1|45|12|5|16|0
36|IC 1528|  1.27227 |  -7.09343 |G|  3807| 0.012699 |S1L |13.50|  0.000|66|1|46|20|19|6|0
37|NGC 7824|  1.27600 |   6.92018 |G|  6137| 0.020471 |S1L |14.07|  0.000|71|1|45|21|22|7|0
38|NGC 7825|  1.27768 |   5.20361 |G|  8055| 0.026869 |SUN |15.5 |  0.000|18|0|31|8|6|2|0
39|IC 1529|  1.30505 | -11.50257 |G|  6762| 0.022556 |S1L |14.34|  0.000|39|1|37|12|13|6|0
40|NGC 7821|  1.31960 | -16.47691 |G|  7412| 0.024724 |S1L |13.77|  0.000|42|2|54|19|13|5|0
41|NGC 7827|  1.36521 |   5.22237 |G|  5294| 0.017659 |SUN |14.93|  0.000|31|1|42|14|7|7|0
42|NGC 7828|  1.61269 | -13.41604 |G|  5729| 0.019110 |S1L |14.4 |  0.000|47|3|39|12|9|4|0
43|NGC 7832|  1.61862 |  -3.71611 |G|  6247| 0.020838 |UUN |13.89|  0.000|35|1|39|17|13|5|0
44|NGC 7829|  1.62077 | -13.42063 |G|  5717| 0.019070 |SLS |15.4b|  0.000|31|3|44|10|7|4|0
45|NGC 7834|  1.65777 |   8.36782 |G|  5231| 0.017449 |SUN |14.95|  0.000|29|1|38|13|8|7|0
46|NGC 7835|  1.69496 |   8.42600 |G| 11844| 0.039507 |SLS |15.43|  0.000|12|0|31|6|4|3|0
47|NGC 7837|  1.71422 |   8.35132 |G| 10880| 0.036292 |SLS |16   |  0.000|15|0|31|6|5|4|0
48|NGC 7838|  1.72472 |   8.35091 |G| 11525| 0.038443 |S1L |16   |  0.000|19|0|35|9|9|4|0
49|NGC 7840|  1.78659 |   8.38343 |G| 11266| 0.037579 |SUN |     |  0.000|4|0|28|6|2|2|0
50|NGC 0001|  1.81611 |  27.70803 |G|  4550| 0.015177 |UUN |13.65|  0.000|130|3|63|25|29|8|0
51|NGC 0003|  1.81993 |   8.30166 |G|  3961| 0.013212 |S1L |14.2 |  0.000|41|2|49|17|11|6|0
52|NGC 0002|  1.82133 |  27.67844 |G|  7547| 0.025174 |S1L |14.96|  0.000|50|3|43|16|17|8|0
53|NGC 7831|  1.83122 |  32.60907 |G|  5074| 0.016925 |S1L |13.60|  0.000|72|2|33|23|17|6|0
